region,ownd,kids,inc,sex,wlth,hv,incmed,incavg,low,npro,gifdol,gifl,gifr,mdon,lag,gifa,donr,DONR,DAMT
ter2,0,2,4,1,2,322,154,154,0,57,97,22,14,19,5,16.68,,0,0.12
ter3,0,3,1,0,8,149,39,59,17,58,88,30,17,13,10,18.51,,0,0.0
ter4,0,0,4,1,8,195,51,51,9,38,54,6,6,13,7,7.17,,0,1.55
ter5,1,2,5,1,8,177,31,59,9,48,85,85,65,22,20,25.19,,0,2.38
ter3,0,2,1,1,1,105,15,35,30,80,198,13,10,20,3,8.96,,0,0.0
ter1,1,2,2,1,2,207,47,57,10,13,42,5,4,25,7,4.29,,0,0.0
ter1,1,3,2,1,9,342,63,72,3,135,338,12,12,14,7,5.48,,0,3.3
ter2,1,2,5,1,8,109,16,34,34,71,157,27,28,19,3,17.17,,1,11.111610083435739
ter2,1,2,3,1,7,212,44,85,6,42,78,12,10,17,6,6.04,,1,11.457217654454128
ter2,1,2,4,1,3,152,33,34,24,47,63,12,6,16,5,9.78,,0,0.48
ter1,1,4,4,1,4,141,32,46,35,24,41,38,18,23,8,19.84,,0,0.3
ter5,1,3,5,0,8,235,90,90,1,78,172,22,22,15,4,18.24,,0,3.81
ter4,1,2,2,0,9,110,41,44,14,133,261,54,23,18,3,12.92,,0,2.12
ter2,1,0,4,1,8,153,66,66,5,43,55,17,16,18,6,15.31,,1,15.057367697032262
ter1,1,0,4,1,8,181,24,49,16,22,70,70,31,14,5,24.85,,1,15.36630185483643
ter3,1,3,5,1,9,99,11,31,45,75,194,19,15,12,7,12.27,,0,0.6
ter1,0,4,6,1,3,171,30,34,15,78,143,6,4,22,29,5.6,,0,0.0
ter1,1,3,4,1,1,242,51,64,2,11,45,45,28,37,3,42.72,,0,1.06
ter4,1,2,3,1,7,91,28,28,27,115,170,5,4,13,5,4.88,,0,1.38
ter2,1,1,6,1,9,224,49,57,1,86,148,20,26,23,4,9.5,,1,9.043658536585365
ter4,1,3,4,0,5,237,90,90,1,18,56,56,16,13,6,21.92,,0,1.7076875
ter1,1,3,4,0,8,157,19,34,35,54,88,22,10,16,11,13.98,,0,0.56
ter3,1,2,6,1,8,168,16,66,21,22,53,7,4,21,11,5.54,,0,0.0
ter4,0,2,4,0,9,125,18,46,42,32,42,22,26,32,8,11.26,,0,0.0
ter1,0,5,5,1,8,180,35,40,21,97,114,9,12,19,4,6.02,,0,1.44
ter1,1,3,4,0,8,191,26,34,12,42,63,13,11,23,7,12.18,,0,4.337508620411846
ter2,0,1,1,1,9,116,35,35,25,100,171,23,19,21,14,10.35,,0,0.0
ter2,0,3,4,0,4,213,53,62,6,105,133,10,7,23,6,8.07,,0,0.0
ter3,0,3,4,0,8,79,24,24,31,100,158,30,22,24,9,19.93,,0,1.4
ter2,1,2,6,0,9,195,42,60,6,21,58,6,7,23,5,5.15,,0,2.89
ter3,0,3,4,1,9,301,83,95,0,106,285,15,14,18,10,9.08,,0,0.68
ter1,0,0,4,1,8,155,33,43,20,59,69,5,6,22,7,3.72,,1,2.16
ter3,1,3,6,0,5,346,176,176,0,87,119,55,33,9,3,36.2,,0,5.49
ter2,1,3,3,1,9,79,14,23,55,14,45,10,5,39,4,7.23,,0,0.25
ter4,1,4,5,1,1,212,36,51,7,40,59,8,11,21,3,6.42,,0,0.71
ter5,1,2,3,1,2,197,41,54,13,51,62,16,13,18,5,9.84,,0,0.13
ter4,0,2,4,0,8,451,137,145,0,78,177,13,13,32,16,12.56,,0,2.68
ter2,1,1,2,1,8,230,78,78,0,25,56,7,10,36,11,8.47,,0,3.88
ter5,1,1,5,1,7,110,36,36,32,83,130,8,4,18,9,7.68,,0,1.8
ter3,1,2,1,0,1,122,35,51,21,46,80,17,17,18,6,12.1,,0,0.12
ter1,0,2,5,1,8,133,24,41,29,82,117,33,17,15,5,11.91,,0,0.77
ter2,0,1,2,0,9,99,22,29,32,40,73,13,10,20,12,8.25,,0,0.0
ter3,1,2,5,1,8,179,79,79,8,41,94,36,19,24,7,16.34,,0,6.25
ter5,1,2,4,0,1,247,56,71,1,11,42,16,7,19,4,7.09,,0,0.13
ter1,1,3,1,1,8,150,28,42,13,12,43,5,5,22,14,4.59,,0,0.0
ter3,1,0,7,0,9,220,42,54,2,51,91,48,39,8,6,14.85,,0,15.977749172498715
ter2,1,1,3,1,9,146,65,65,3,33,50,11,8,15,6,12.27,,1,10.705282245870091
ter2,1,3,2,1,9,74,12,24,48,24,55,35,30,22,4,11.58,,0,1.02
ter1,0,2,1,1,9,234,36,75,11,29,60,7,12,24,10,5.08,,0,0.13
ter1,1,4,7,0,8,262,45,66,1,72,166,22,19,15,32,13.94,,0,0.41
ter2,1,2,2,0,9,132,12,32,50,46,69,30,34,14,12,13.51,,0,1.19
ter1,1,2,2,1,7,167,36,64,12,58,109,5,6,17,4,3.95,,0,0.0
ter1,1,1,4,1,7,104,50,50,3,27,60,60,41,21,3,18.66,,1,9.659090909090908
ter5,0,2,2,1,4,141,34,49,14,67,110,31,21,19,13,12.48,,0,0.0
ter4,1,3,5,0,8,198,31,63,16,58,62,12,9,24,5,8.52,,0,0.0
ter1,1,3,4,1,3,333,68,83,0,88,129,7,4,13,14,5.92,,0,0.89
ter5,0,1,5,1,9,331,97,97,0,109,187,63,48,14,5,21.25,,0,4.71
ter5,0,2,4,0,8,207,36,84,7,88,206,21,10,14,7,14.16,,0,0.15
ter5,1,3,1,1,8,246,73,81,0,39,58,19,23,22,5,6.97,,0,1.08
ter1,1,3,1,0,8,154,31,50,13,103,207,35,34,15,6,13.74,,0,0.43
ter1,1,3,4,0,8,116,14,35,26,51,57,5,4,20,3,5.31,,0,2.397190476190476
ter1,1,2,3,0,8,117,23,31,34,84,122,18,21,18,7,10.1,,0,1.41
ter2,1,2,2,1,8,129,50,50,13,3,56,56,24,20,9,24.11,,0,2.72
ter5,1,1,3,1,1,151,25,30,31,17,42,14,14,18,11,12.34,,0,0.14
ter4,1,2,2,1,5,175,24,62,22,94,122,62,34,20,6,12.65,,0,0.44
ter1,1,2,7,1,2,190,20,58,16,32,50,5,5,16,27,4.7,,0,0.0
ter2,1,3,6,0,5,131,28,55,8,47,70,5,5,18,6,5.63,,0,0.81
ter5,1,2,1,0,8,325,113,113,0,98,221,5,3,17,6,5.2,,1,1.36
ter5,1,4,4,0,6,150,33,37,26,29,56,13,11,16,5,10.5,,0,1.06
ter3,0,4,6,1,4,169,18,55,38,45,57,13,6,10,9,7.27,,0,0.0
ter1,0,1,1,0,9,274,41,57,2,46,58,17,14,15,9,10.57,,0,0.72
ter4,0,2,2,1,8,187,34,49,11,66,85,14,14,14,5,6.51,,0,0.0
ter1,1,2,1,1,9,188,44,59,10,70,100,17,11,20,6,9.87,,0,0.0
ter2,1,1,4,1,8,88,14,25,52,25,48,25,24,19,9,12.36,,0,8.4565391951173
ter3,1,5,7,1,8,305,56,103,4,54,67,6,5,20,16,5.12,,0,0.11
ter2,1,2,5,1,7,146,32,46,6,30,62,17,17,23,8,12.4,,0,8.06136181795984
ter5,1,2,4,0,2,241,78,101,0,96,113,13,9,13,4,12.07,,0,0.76
ter5,1,3,3,0,4,249,31,86,7,45,66,14,16,13,4,9.95,,0,1.07
ter3,1,1,4,0,8,97,22,32,32,59,90,8,7,22,7,4.97,,1,8.82645238095238
ter1,1,2,2,0,8,116,14,28,27,55,63,18,9,15,10,9.63,,0,0.27
ter2,1,4,4,0,9,230,44,83,4,44,83,15,9,22,6,7.74,,1,11.530695168216955
ter5,1,1,4,1,2,125,13,37,52,49,76,33,21,13,6,14.95,,0,1.65
ter4,0,1,6,1,9,139,22,37,28,82,265,22,18,15,17,12.66,,0,0.13
ter4,1,2,2,0,9,165,53,53,6,24,52,11,7,22,4,5.6,,0,0.0
ter3,1,3,2,1,6,286,81,94,0,11,39,27,14,17,9,15.73,,0,0.25
ter3,0,0,2,1,8,130,58,58,4,68,77,13,12,14,6,7.1,,0,0.85
ter5,1,3,7,0,5,138,37,56,11,52,109,8,6,19,4,7.55,,0,0.0
ter1,0,4,2,1,2,101,40,40,16,47,75,26,44,24,7,21.87,,0,0.0
ter5,1,3,4,0,9,162,33,40,18,87,152,16,11,16,7,18.61,,0,6.309159931960806
ter1,0,2,2,0,8,107,33,37,14,80,112,24,15,22,5,10.55,,0,0.14
ter2,1,0,4,1,9,176,26,45,15,50,72,14,13,15,4,10.55,,1,13.821994358710718
ter1,1,0,5,1,2,169,42,42,10,104,132,16,14,20,8,12.15,,1,11.459190476190477
ter3,1,1,4,0,8,153,22,34,22,49,86,15,16,22,3,8.24,,1,9.887663636363635
ter4,1,0,5,0,8,185,48,68,14,31,55,10,5,18,6,6.89,,1,15.032622715448804
ter5,1,2,3,0,7,115,35,44,15,79,124,5,8,23,9,6.15,,0,0.29
ter4,1,2,4,0,9,127,27,32,24,62,193,117,56,26,4,21.22,,0,0.7835294117647058
ter2,1,1,4,1,9,131,32,35,38,15,48,9,7,19,5,5.71,,1,8.040170874543495
ter4,1,2,5,1,5,112,17,25,66,62,85,43,48,19,7,17.59,,0,0.44
ter1,1,1,4,1,9,211,55,58,4,52,82,8,8,21,8,8.39,,1,8.252837837837838
ter2,1,3,5,1,7,152,26,40,21,16,41,12,8,18,3,5.24,,0,4.052073199298778
ter3,1,1,3,1,9,221,82,82,7,26,63,37,40,13,5,9.64,,0,4.07
ter2,1,2,4,0,8,199,38,45,9,61,106,32,22,29,4,21.9,,0,4.785422955974843
ter1,1,2,4,1,8,137,35,43,10,14,54,19,22,23,7,16.28,,1,2.06
ter5,1,1,4,1,4,236,40,72,9,8,27,24,24,16,12,12.78,,0,1.06
ter2,1,2,2,1,9,152,30,50,17,86,253,27,13,19,13,15.15,,0,5.24
ter3,0,2,4,0,9,124,20,35,20,46,76,18,19,20,13,9.9,,0,0.0
ter1,0,1,1,0,9,220,57,72,1,74,79,17,5,16,8,14.31,,0,0.77
ter5,1,2,3,0,8,425,107,107,0,51,85,11,15,12,8,7.58,,0,2.65
ter1,1,2,1,1,6,133,33,43,13,17,43,18,13,23,7,10.14,,0,0.14
ter3,0,4,2,1,9,134,43,43,13,43,91,13,8,18,5,13.19,,0,0.15
ter4,1,4,4,0,2,124,12,29,44,70,129,12,4,22,6,5.89,,0,0.92
ter5,1,2,4,1,2,142,56,56,5,44,72,9,12,24,7,5.03,,0,0.13
ter1,1,5,3,1,8,107,21,23,25,17,55,22,8,36,8,17.66,,0,0.13
ter3,0,2,4,1,5,102,21,37,48,18,49,5,4,19,4,6.1,,0,0.13
ter4,1,5,1,1,7,228,56,74,0,65,100,16,12,20,5,7.13,,0,0.7
ter2,1,3,6,0,3,210,28,74,13,110,206,47,39,20,6,19.6,,0,3.01
ter2,1,2,6,1,0,223,27,76,12,20,49,25,18,16,7,14.64,,0,1.33
ter5,1,0,3,1,9,222,113,113,1,64,75,19,13,19,6,10.46,,1,14.234883415586173
ter3,0,4,2,1,9,154,39,51,6,37,63,18,16,24,7,15.75,,0,0.14
ter1,0,3,3,1,3,117,41,44,12,55,97,5,4,17,12,5.66,,0,0.4
ter3,0,0,1,1,9,98,43,43,35,117,182,17,15,17,7,5.56,,0,3.37
ter3,1,0,3,0,2,139,48,49,7,146,328,15,17,23,7,14.79,,1,6.992857142857144
ter5,1,2,5,1,8,188,76,76,6,22,56,14,12,22,4,20.27,,0,4.68
ter3,1,1,3,0,9,195,47,48,6,106,198,15,9,21,4,12.53,,1,3.220396825396825
ter5,1,0,4,0,9,155,26,63,23,101,218,37,31,12,19,21.47,,1,15.967469777163258
ter2,1,3,3,1,8,110,9,27,70,36,64,20,12,17,9,10.16,,0,4.499148936170212
ter5,1,1,4,0,7,199,31,47,7,76,219,20,25,21,6,10.85,,1,13.419773437975486
ter1,1,3,7,1,8,191,44,44,16,15,45,6,4,13,4,4.42,,0,0.39
ter5,1,1,3,0,8,216,54,64,1,24,43,22,14,15,4,12.12,,0,4.06
ter3,1,3,4,1,9,238,119,119,0,25,63,23,11,17,3,12.2,,1,7.41
ter3,1,2,5,1,9,149,33,45,16,119,242,5,4,15,7,3.71,,0,0.35815384615384616
ter3,1,0,1,1,8,90,17,26,52,25,48,14,16,22,11,20.89,,0,7.07
ter2,0,2,4,1,8,240,32,98,16,41,77,17,13,23,10,10.96,,0,0.0
ter2,1,4,1,0,9,113,23,26,20,65,143,4,2,17,7,3.6,,0,1.26
ter5,1,1,3,0,8,199,23,63,12,84,136,15,13,23,6,8.7,,0,1.43
ter1,1,2,1,1,9,124,28,54,11,35,56,56,47,19,6,18.36,,0,0.0
ter2,1,4,2,1,8,219,56,64,2,24,46,10,13,19,9,7.0,,0,1.81
ter5,1,3,5,0,9,203,41,58,16,16,40,33,13,20,8,18.93,,0,0.48
ter1,0,4,4,1,9,212,31,42,12,45,83,12,9,18,3,9.6,,0,0.8425
ter5,1,1,3,0,9,181,28,45,12,39,96,16,12,14,6,11.55,,0,2.716666666666667
ter3,0,4,4,1,5,298,59,68,6,30,58,16,14,18,11,11.4,,0,0.0
ter5,1,1,4,0,9,143,21,46,18,19,55,21,13,22,7,12.7,,0,6.54
ter5,0,1,4,1,6,139,19,33,19,23,39,25,10,16,5,11.71,,0,0.42
ter5,1,4,7,0,9,196,73,74,0,77,154,33,23,19,8,11.78,,0,0.19
ter2,1,3,4,1,4,178,39,70,7,77,98,29,24,22,7,27.4,,1,11.679141562202663
ter1,1,2,1,1,9,123,27,37,38,40,81,4,6,15,9,3.28,,0,0.3
ter3,1,4,1,1,9,202,97,97,0,83,258,6,6,15,11,5.34,,0,1.37
ter4,1,0,2,1,9,164,60,60,17,17,52,13,11,20,10,12.42,,0,12.538620689655172
ter1,1,2,4,1,9,140,18,41,35,11,53,26,10,22,6,10.31,,0,0.99
ter2,1,2,1,1,1,308,67,70,1,65,94,19,14,24,4,8.14,,0,3.01
ter2,1,2,2,0,0,147,58,58,2,34,68,9,6,18,4,5.5,,0,4.92
ter2,1,1,4,1,8,117,17,45,38,71,91,9,6,17,22,5.48,,1,7.956785674108747
ter1,1,2,1,1,6,231,24,71,5,57,69,5,5,14,26,5.84,,0,0.41
ter3,1,0,4,1,9,144,27,43,12,44,67,10,11,29,7,5.52,,1,9.493202687149353
ter2,1,3,5,1,5,198,32,44,10,43,100,15,9,21,14,13.89,,0,4.417112492700765
ter2,0,2,4,1,8,105,36,36,14,30,60,7,4,22,5,5.23,,0,0.0
ter2,0,2,3,0,9,131,20,50,25,77,97,12,9,23,5,13.27,,0,0.0
ter5,1,4,2,1,8,196,38,51,6,66,143,13,10,21,13,8.84,,0,0.5
ter3,1,1,3,1,9,231,56,66,2,96,189,6,5,19,4,3.7,,0,5.308730158730159
ter2,1,2,2,1,9,302,78,107,1,42,82,35,20,23,4,13.2,,1,8.66
ter2,1,0,3,1,4,235,59,109,3,10,34,12,12,12,17,10.42,,1,9.740777777777778
ter2,1,3,2,0,4,136,30,47,16,25,63,21,14,23,7,12.31,,0,0.54
ter1,1,2,6,1,8,122,21,40,24,60,98,11,10,25,13,7.33,,0,0.0
ter1,1,2,5,1,8,107,21,32,48,71,155,17,7,18,10,8.39,,0,0.4
ter1,1,1,3,1,8,57,11,17,70,11,47,10,9,18,3,9.96,,0,2.36
ter2,1,2,2,1,5,294,37,53,3,37,51,43,32,22,10,22.76,,0,2.57
ter2,1,2,5,1,8,190,52,57,9,24,48,7,6,17,6,6.7,,1,10.766285751567807
ter4,1,2,5,1,4,280,70,75,2,20,55,15,14,15,5,9.34,,0,1.78
ter5,1,2,1,1,5,199,31,61,12,62,160,13,7,21,4,8.64,,0,0.9
ter5,1,2,4,0,9,171,30,40,32,71,91,26,28,18,4,15.69,,0,9.753887710473599
ter1,0,2,6,0,9,189,33,43,9,43,55,15,6,24,5,11.79,,0,0.0
ter1,1,2,2,1,6,140,55,55,1,80,111,28,16,20,7,18.74,,0,0.52
ter2,1,2,5,0,8,207,36,81,14,46,77,39,23,15,6,17.84,,1,12.843862601413841
ter5,1,1,6,0,8,146,25,38,18,77,114,20,21,26,8,14.21,,0,0.16
ter5,1,3,2,1,7,163,47,49,5,57,121,28,34,13,11,11.15,,0,0.14
ter2,0,0,4,0,3,161,22,47,22,38,66,19,33,14,8,9.7,,1,8.19
ter1,1,4,6,0,9,122,25,47,31,59,69,18,17,32,3,9.98,,0,0.14
ter4,1,3,4,0,2,118,29,32,19,68,76,11,12,19,10,10.03,,0,0.13
ter2,1,2,7,0,8,182,40,43,35,45,64,28,22,13,4,11.11,,0,0.61
ter3,0,0,1,0,2,128,25,30,18,28,52,18,18,21,5,8.42,,0,0.15
ter1,1,1,4,0,8,280,55,81,0,47,78,20,22,15,5,16.09,,1,13.22666822701676
ter3,1,3,2,1,9,100,16,30,35,64,87,16,12,18,3,8.41,,0,0.28
ter2,1,2,6,0,3,144,33,40,13,98,185,8,7,24,8,4.35,,0,1.93
ter5,0,4,7,1,3,72,21,28,41,50,71,8,8,14,5,8.36,,0,0.0
ter2,1,0,4,0,4,140,32,43,15,41,48,47,42,13,7,22.76,,1,15.953315585753492
ter5,1,2,2,1,4,217,45,67,7,92,111,18,10,15,13,11.35,,0,0.13
ter3,1,1,7,0,0,109,15,39,41,110,248,49,25,20,8,17.82,,0,1.76
ter1,1,4,7,0,5,138,32,37,24,68,124,65,33,20,10,13.21,,0,0.26
ter2,1,3,1,1,2,247,67,70,1,45,67,44,25,19,7,18.61,,0,1.13
ter4,1,3,3,1,6,259,26,70,22,13,46,5,5,21,3,5.98,,0,2.07
ter4,0,3,3,1,4,136,47,47,7,37,61,8,7,16,17,5.52,,0,0.13
ter1,0,2,4,1,8,145,21,43,20,39,72,20,16,20,3,11.49,,0,0.14
ter4,1,0,4,0,8,251,93,93,0,63,229,33,35,13,6,12.59,,1,17.97375
ter4,1,2,4,0,8,99,11,31,52,38,48,5,4,18,7,3.91,,0,4.66
ter5,0,3,4,1,4,120,36,36,15,71,138,18,15,20,6,8.32,,0,0.0
ter2,1,0,3,0,4,264,75,88,0,41,94,13,9,16,10,7.74,,1,12.749714998245741
ter4,1,3,6,0,8,152,26,45,28,87,190,14,9,17,7,8.17,,0,0.0
ter3,1,0,2,1,9,168,23,40,33,41,56,43,16,22,6,14.32,,1,13.67961111111111
ter2,1,0,1,1,5,166,45,63,5,40,67,5,7,14,7,4.72,,1,9.804965811965811
ter3,1,2,7,0,7,122,36,40,14,86,276,25,18,15,13,19.23,,0,0.19
ter1,1,1,2,0,4,163,51,51,7,34,54,7,4,26,5,3.83,,0,0.36
ter2,1,2,2,1,6,199,52,67,0,40,76,14,8,15,6,10.48,,1,3.7
ter1,1,3,2,0,0,217,47,50,3,71,105,12,15,13,9,9.41,,0,0.0
ter1,1,2,4,1,8,164,30,49,5,81,138,22,8,15,7,12.18,,1,10.96756309470561
ter1,1,3,4,0,3,240,29,48,10,83,145,15,13,15,4,10.07,,0,0.27
ter3,1,2,4,1,1,197,55,66,0,64,92,4,4,22,5,3.71,,0,0.4
ter1,1,2,4,0,3,156,42,72,6,65,155,24,12,13,7,8.22,,0,0.0
ter5,1,3,7,1,8,74,10,30,70,40,96,96,75,20,14,28.28,,0,1.66
ter3,1,2,5,1,8,244,32,74,8,70,109,21,18,17,3,9.89,,0,2.045863377609108
ter5,1,3,1,1,0,119,42,49,12,75,123,52,23,13,5,30.04,,0,0.14
ter5,1,2,6,0,5,110,33,33,23,33,54,7,3,22,3,5.74,,0,1.16
ter3,0,4,4,0,9,167,61,61,5,35,55,5,5,21,7,4.48,,0,0.67
ter2,0,2,3,1,7,185,66,72,3,3,30,5,6,17,4,4.91,,0,0.0
ter5,1,0,7,1,8,204,77,77,4,115,268,50,22,26,6,20.73,,0,15.371553259123775
ter2,1,3,4,1,8,199,54,79,3,26,69,17,13,16,3,8.07,,1,11.646192761651436
ter2,1,2,5,1,0,115,35,35,6,43,49,18,11,15,16,15.29,,0,1.04
ter2,1,2,5,1,2,368,41,100,4,74,138,49,21,28,3,15.34,,0,1.69
ter4,0,0,7,0,8,65,23,23,40,84,121,20,26,11,7,11.11,,0,1.74
ter3,0,2,4,1,8,135,51,51,13,19,46,42,22,16,4,15.91,,0,0.52
ter3,1,0,7,0,8,177,51,55,3,18,70,70,44,26,6,24.31,,0,15.114022016748052
ter3,1,2,7,0,6,155,26,43,24,104,303,16,19,23,8,10.88,,0,0.36
ter5,1,4,5,1,0,144,28,28,29,38,56,10,7,18,4,6.42,,0,0.13
ter3,1,2,2,1,5,181,41,63,1,76,120,17,14,16,4,14.08,,0,0.31
ter4,0,4,4,1,8,171,25,55,14,49,59,48,16,19,9,23.31,,0,0.0
ter2,1,2,2,1,1,213,39,55,14,76,163,7,8,12,6,5.76,,0,1.98
ter5,1,5,3,1,1,154,49,49,7,35,69,13,20,14,8,12.33,,0,0.0
ter1,1,3,4,0,8,181,20,67,18,19,71,19,11,21,4,14.16,,0,3.99
ter4,1,1,7,0,3,124,34,48,13,47,88,5,3,20,5,6.67,,0,0.0
ter3,1,4,4,1,9,255,67,86,0,29,50,9,7,25,6,5.76,,0,2.46
ter5,0,4,4,0,8,136,35,35,12,58,66,5,4,20,4,4.16,,0,0.42
ter2,1,0,4,1,9,120,23,31,39,48,73,14,12,15,6,10.6,,1,14.60634412550497
ter4,1,0,2,1,0,178,61,61,4,79,129,15,9,12,4,16.75,,0,5.200714285714286
ter4,0,3,5,1,8,143,22,30,38,48,81,14,10,19,8,11.98,,0,0.26
ter2,1,3,5,0,7,239,35,72,7,71,79,6,3,22,19,3.8,,0,4.223675958188154
ter2,1,2,6,1,7,232,56,70,5,97,177,15,11,20,5,7.16,,0,11.153658536585365
ter1,1,0,3,1,3,107,16,41,62,42,77,18,15,20,5,7.7,,1,5.3424603174603185
ter1,1,0,1,0,8,375,50,114,2,16,47,21,9,24,11,15.14,,1,9.59
ter1,1,0,7,0,0,155,61,70,4,46,71,13,8,15,5,13.47,,0,5.3
ter5,1,3,4,0,9,298,81,100,0,65,67,48,11,13,2,17.06,,0,9.013333333333334
ter1,1,2,4,0,8,200,40,72,18,34,69,16,23,20,3,15.95,,1,6.1552242040902385
ter3,1,2,2,1,9,156,47,52,6,94,125,35,36,14,5,11.72,,0,0.28
ter2,1,0,4,1,4,118,19,29,42,110,323,39,46,14,6,17.3,,1,15.832580886666626
ter2,1,0,4,0,9,229,76,76,7,18,47,9,9,18,7,6.43,,1,13.311566983233005
ter5,1,2,4,1,4,121,28,35,13,15,40,9,7,17,5,5.6,,0,0.24
ter1,1,2,1,0,8,444,139,145,0,92,90,10,6,21,6,8.37,,0,4.18
ter3,1,1,6,1,9,153,51,56,4,79,100,19,15,24,5,8.15,,0,0.28
ter3,1,0,4,1,9,165,27,61,10,42,74,18,23,22,14,13.72,,1,14.624910267547861
ter4,1,0,7,0,7,127,37,37,9,20,51,24,24,22,5,17.53,,0,16.144948051948052
ter2,1,5,7,1,4,59,6,17,80,71,120,27,26,18,4,9.97,,0,1.44
ter2,1,2,4,0,0,219,55,75,3,76,141,5,6,20,22,3.82,,0,1.92
ter5,1,4,4,0,2,125,24,34,39,14,41,16,14,20,20,12.12,,0,0.12
ter5,1,0,4,0,5,386,105,107,0,34,54,10,8,16,5,5.53,,1,12.542018736237296
ter4,0,3,1,0,1,152,26,32,30,43,66,16,9,10,10,11.3,,0,0.0
ter3,1,3,5,1,5,187,51,81,5,37,85,7,5,8,9,6.69,,0,1.31
ter5,1,0,4,1,8,86,14,23,40,46,79,6,3,7,8,5.84,,1,6.813923621460506
ter3,1,4,6,1,9,203,43,45,10,29,55,23,14,22,5,16.1,,0,0.0
ter2,0,3,4,1,6,260,45,74,6,17,57,11,10,16,9,11.29,,0,0.0
ter2,1,3,4,1,8,158,39,39,6,54,83,11,4,24,11,6.14,,0,6.842277490891916
ter3,1,0,3,0,6,121,21,37,32,58,96,18,34,18,25,14.11,,0,12.346476190476189
ter2,1,0,7,1,6,153,28,35,13,100,110,18,25,13,6,13.16,,1,11.648220040435945
ter1,1,2,7,0,8,195,71,71,11,63,86,16,8,26,8,9.21,,0,0.15
ter3,0,1,3,1,5,154,18,37,26,101,79,20,20,28,4,10.32,,0,4.25
ter1,1,0,1,1,9,140,39,46,12,25,56,18,8,20,6,16.03,,1,9.61
ter4,1,2,4,1,5,268,56,60,3,31,73,10,11,21,16,6.11,,0,0.9925
ter5,1,3,4,0,9,195,63,73,2,42,58,20,10,21,5,15.64,,0,4.630980392156863
ter1,1,2,2,0,9,153,32,44,14,23,55,12,8,19,6,6.63,,0,0.0
ter1,1,2,4,0,4,229,66,69,1,132,338,22,6,37,6,13.98,,0,3.68
ter2,1,2,4,0,9,92,21,23,44,102,124,4,1,19,5,2.63,,1,10.448225545729082
ter1,1,1,4,0,2,98,18,26,33,74,95,18,22,22,5,10.28,,0,1.49
ter3,1,0,7,1,4,102,15,22,68,26,58,27,21,10,3,10.45,,0,5.528761904761905
ter5,1,3,4,0,9,335,94,94,0,17,29,9,7,23,14,10.83,,0,2.37
ter2,1,3,4,1,2,227,91,91,3,66,94,36,25,15,3,12.83,,0,0.7
ter2,0,3,2,0,9,118,45,45,6,125,218,15,8,21,6,12.34,,0,1.39
ter3,1,1,4,0,3,278,37,58,7,15,40,23,25,14,7,10.89,,0,0.45
ter2,1,2,7,0,9,175,36,41,4,51,68,11,11,16,14,4.32,,0,1.45
ter2,0,2,4,1,8,76,11,21,55,76,86,13,8,16,6,10.13,,0,0.0
ter2,0,2,7,1,8,129,21,36,11,81,100,13,9,14,9,9.0,,0,0.0
ter4,1,0,2,0,3,150,30,36,28,71,98,4,4,24,3,3.87,,0,5.35
ter5,1,3,4,1,8,178,49,49,7,49,71,5,6,18,7,6.71,,0,3.469611560988032
ter2,1,0,5,1,4,111,21,35,24,28,43,43,20,16,9,15.07,,1,14.17796382783883
ter1,1,3,7,1,6,142,21,47,41,42,77,22,18,11,8,13.67,,0,0.0
ter1,1,3,5,1,4,186,25,65,26,81,154,7,7,16,4,4.95,,0,0.59
ter2,0,2,3,1,8,215,73,73,5,39,72,17,14,16,8,13.63,,0,0.0
ter5,1,2,4,0,8,111,20,34,39,33,61,30,24,22,25,13.35,,0,0.26
ter4,1,2,7,0,1,94,33,33,34,49,71,16,6,30,4,13.86,,0,0.25
ter5,1,2,1,1,8,318,138,138,0,71,189,31,20,13,5,16.03,,0,4.6
ter4,1,5,7,1,9,194,58,58,3,57,681,681,34,20,8,18.72,,0,1.54
ter3,1,0,4,0,1,165,55,55,17,134,273,15,7,24,7,8.82,,1,6.09
ter5,1,2,4,0,8,294,58,79,1,61,86,14,10,26,6,9.9,,0,2.09
ter1,0,2,1,1,8,149,39,43,11,19,45,20,12,20,7,10.98,,0,0.14
ter5,1,2,4,1,9,271,50,65,15,37,64,30,30,15,7,19.75,,0,6.374739249598175
ter1,0,3,2,1,8,184,49,51,17,11,38,13,8,24,5,11.58,,0,0.29
ter5,1,2,3,0,9,144,40,41,6,45,49,15,24,17,3,7.35,,0,1.26
ter2,1,3,3,1,2,119,28,35,9,21,56,15,6,30,3,7.48,,0,0.44
ter3,1,2,4,1,9,219,75,79,2,74,82,14,12,19,24,12.58,,0,5.2132790143084256
ter5,1,3,2,1,8,149,19,38,17,17,54,12,9,21,3,9.38,,0,0.0
ter1,1,4,4,0,8,171,63,63,9,45,57,32,16,18,4,15.22,,0,5.644637445887445
ter5,1,3,7,1,8,213,83,106,2,115,288,20,11,22,6,10.37,,0,1.9
ter1,1,2,4,1,2,153,33,60,26,76,124,19,24,21,6,5.69,,0,0.91
ter1,1,1,4,1,9,271,55,68,3,61,125,6,5,22,15,5.12,,1,5.477837837837837
ter5,1,0,1,1,7,215,80,89,4,101,240,5,6,13,5,6.44,,1,8.876111111111111
ter1,1,2,6,1,9,213,59,60,3,82,168,14,19,21,11,7.38,,0,0.14
